var	RR	LCI	UCI	P	label	corr
(Intercept)	0.054425571871895465	0.04273543032309338	0.06931351459873274	0	nnrti_among_viremic_pt	ar1
round16	1.1648371344452115	0.8698291709998668	1.559898880170736	0.3058269666992145	nnrti_among_viremic_pt	ar1
round17	1.3181917111028805	0.9605984682192819	1.808902933648735	0.08708176044385763	nnrti_among_viremic_pt	ar1
round18	1.8099833084884969	1.3029352637056024	2.514353297714709	4.034134600978678e-4	nnrti_among_viremic_pt	ar1
round19	2.117670032030591	1.449568741117828	3.093696930234729	1.0459495053016798e-4	nnrti_among_viremic_pt	ar1
round20	2.7239559845130072	1.6713214864350363	4.439562505350844	5.799662738614764e-5	nnrti_among_viremic_pt	ar1
