var	RR	LCI	UCI	P	label	corr
(Intercept)	0.05024635230655471	0.03769186435458357	0.0669825163426122	0	nnrti_among_viremic_pt_comm_cat_round	ar1
comm_catinland	1.172371555595531	0.8827598813597182	1.5569976540533392	0.27196734869826833	nnrti_among_viremic_pt_comm_cat_round	ar1
round16	1.1656421116728088	0.8715929934180535	1.5588945101275542	0.3014272960611083	nnrti_among_viremic_pt_comm_cat_round	ar1
round17	1.3139975353556341	0.95809459571869	1.8021075691649466	0.09019924106758304	nnrti_among_viremic_pt_comm_cat_round	ar1
round18	1.7902730476961748	1.2890714343347913	2.486345985132538	5.104434631145738e-4	nnrti_among_viremic_pt_comm_cat_round	ar1
round19	2.0574730983074243	1.4070653488852711	3.0085280357535953	1.9803273622265305e-4	nnrti_among_viremic_pt_comm_cat_round	ar1
round20	2.6983190086499587	1.654836190572958	4.399786222901496	6.916010937052519e-5	nnrti_among_viremic_pt_comm_cat_round	ar1
