var	RR	LCI	UCI	P	label	corr
(Intercept)	8.673963025189336e-40	NA	NA	NA	viremic-pt-inS153Y	NA
round16	446623719450316600	3.9103964561983123e+17	510108754981745660	0	viremic-pt-inS153Y	NA
round17	446623719450326140	421257888521802900	473516941072830700	0	viremic-pt-inS153Y	NA
round18	446623719450342e3	417881321666316350	477343055153203e3	0	viremic-pt-inS153Y	NA
round19	446623719450329340	395258875215724400	504663549089892600	0	viremic-pt-inS153Y	NA
round20	9027915890728543e22	5007186754196198e22	1627725693709474e23	0	viremic-pt-inS153Y	NA
